order_id,product_id,quantity,unit_price,order_date,delivery_time,area
101498,293073,2,537.53,2023-07-26,2023-07-26 11:47:00,West Sacramento
104943,926868,4,551.6,2023-04-04,2023-04-04 05:14:00,West Sacramento
100269,417009,2,526.62,2023-08-14,2023-08-14 20:04:00,Oak Park
101427,424718,2,510.4,2023-08-27,2023-08-27 02:31:00,South Natomas
101486,417009,1,526.62,2023-02-24,2023-02-24 01:52:00,West Sacramento
102767,799380,1,519.76,2023-04-10,2023-04-10 06:40:00,SW Sacramento
100676,644730,1,544.37,2023-12-12,2023-12-12 07:27:00,Upper Land
102687,417528,2,553.89,2023-06-15,2023-06-15 15:46:00,North Sacramento
100732,799380,3,519.76,2023-01-20,2023-01-20 06:39:00,Oak Park
100700,575961,1,525.87,2023-10-06,2023-10-06 05:42:00,South Natomas
101672,740474,1,543.99,2023-01-25,2023-01-25 23:57:00,South Land
100093,129553,3,570.14,2023-07-24,2023-07-24 17:52:00,North Sacramento
103850,240196,2,553.62,2023-04-02,2023-04-02 18:42:00,Oak Park
104980,966126,1,518.99,2023-04-16,2023-04-16 06:49:00,North Sacramento
103621,876627,1,530.95,2023-04-12,2023-04-12 18:12:00,North Sacramento
100868,457848,3,542.22,2023-12-15,2023-12-15 09:18:00,North Sacramento
104833,357966,1,527.95,2023-01-04,2023-01-04 06:59:00,Upper Land
104242,846554,5,513.8,2023-09-05,2023-09-05 02:10:00,North Sacramento
104591,542696,2,493.61,2023-07-13,2023-07-13 02:51:00,South Land
103760,203454,3,515.54,2023-06-18,2023-06-18 05:23:00,Upper Land
103898,656573,3,569.62,2023-05-03,2023-05-03 02:55:00,SW Sacramento
104290,855119,5,521.02,2023-11-22,2023-11-22 03:19:00,Upper Land
103306,966126,2,518.99,2023-05-03,2023-05-03 01:32:00,South Natomas
101798,741835,1,498.96,2023-07-11,2023-07-11 05:47:00,South Natomas
102518,391708,1,506.63,2023-07-03,2023-07-03 21:33:00,North Sacramento
102247,120672,1,513.91,2023-07-09,2023-07-09 13:34:00,Upper Land
102234,221626,3,523.0,2023-05-26,2023-05-26 21:17:00,South Land
100853,782729,1,505.21,2023-08-15,2023-08-15 04:55:00,South Natomas
