order_id,product_id,unit_price,quantity
100000,293073,980.63,2
100001,926868,813.33,4
100001,417009,854.38,2
100002,424718,933.48,2
100002,417009,96.02,1
100003,799380,881.08,1
100004,644730,640.91,1
100004,417528,538.58,2
100004,799380,646.54,3
100005,575961,940.67,1
100006,740474,82.22,1
100006,129553,601.68,3
100006,240196,857.26,2
100007,966126,972.65,1
100008,876627,759.9,1
100009,457848,668.71,3
100009,357966,105.53,1
100010,846554,513.24,5
100010,542696,400.8,2
100010,203454,500.2,3
100011,656573,182.72,3
100011,855119,296.59,5
100011,966126,539.43,2
100012,741835,606.09,1
100012,391708,95.35,1
100013,120672,461.88,1
100014,221626,726.48,3
100014,782729,671.81,1
100014,616207,884.86,2
100015,758294,997.25,1
100016,136788,769.12,2
100016,221626,880.09,1
100017,700732,653.2,2
100017,489295,169.56,1
100017,203454,728.32,5
100018,327670,63.63,5
100018,621860,585.23,4
100018,108796,994.94,1
100019,876627,279.71,2
100019,599381,833.74,2
100019,643168,525.7,2
100020,149774,794.08,3
100020,211520,103.42,4
100021,632686,710.08,3
100021,632686,182.03,1
100021,315187,296.79,1
100022,625107,385.33,5
100022,280162,518.59,3
100023,176656,59.29,4
100023,331204,762.79,3
100023,357966,395.48,1
100024,489295,344.17,4
100024,797959,695.06,2
100024,734159,470.57,2
100025,799380,824.45,2
100026,467894,184.45,5
100026,489295,199.52,3
100026,289459,698.33,3
100027,601115,608.66,1
100028,370119,385.56,3
100028,973291,549.77,1
100029,228776,530.52,1
100029,467525,673.84,4
100030,489295,153.67,1
100031,327418,866.66,3
100032,727865,942.95,1
100032,315187,385.39,2
100032,647421,439.8,1
100033,572994,456.21,1
100034,176656,182.54,2
100035,314921,533.27,4
100036,846554,547.83,2
100036,799380,538.2,1
100036,763628,225.31,2
100037,115684,349.82,1
100037,283803,656.22,3
100037,357966,253.44,1
100038,319527,930.75,2
100038,431976,634.9,1
100038,858357,956.0,1
100039,134848,110.41,2
100039,613608,470.07,1
100039,846554,558.5,2
100040,158033,298.63,1
100040,125748,690.95,2
100041,120672,161.52,1
100042,973291,919.69,2
100042,989365,89.69,1
100043,458263,253.78,3
100043,734159,767.96,4
100043,357966,305.48,1
100044,523098,622.8,1
100044,120672,940.33,1
100044,550857,623.17,1
100045,340098,811.05,3
100046,417009,557.3,1
100047,657152,96.92,3
100047,700732,581.15,3
100048,120672,353.97,1
100048,467894,933.95,2
100049,582219,994.41,2
100050,713622,105.79,1
100050,314921,210.34,4
100050,641411,835.75,1
100051,437577,961.25,1
