order_id,order_date,delivery_time,area
100000,2023-09-04,2023-09-04 12:36:00,East
100001,2023-09-24,2023-09-24 19:10:00,East
100002,2023-06-07,2023-06-07 10:12:00,East
100003,2023-05-21,2023-05-21 16:46:00,East
100004,2023-03-22,2023-03-22 21:21:00,South
100005,2023-07-12,2023-07-12 01:52:00,South
100006,2023-06-16,2023-06-16 10:29:00,Central
100007,2023-10-09,2023-10-09 13:42:00,East
100008,2023-09-07,2023-09-07 16:03:00,North
100009,2023-05-24,2023-05-24 04:04:00,East
100010,2023-08-02,2023-08-02 04:50:00,Central
100011,2023-03-30,2023-03-30 20:06:00,East
100012,2023-04-02,2023-04-02 19:07:00,Central
100013,2023-03-05,2023-03-05 22:05:00,South
100014,2023-08-30,2023-08-30 20:21:00,North
100015,2023-12-04,2023-12-04 21:54:00,South
100016,2023-10-24,2023-10-24 23:58:00,North
100017,2023-03-15,2023-03-15 21:42:00,Central
100018,2023-03-23,2023-03-23 19:05:00,West
100019,2023-05-12,2023-05-12 10:10:00,West
100020,2023-02-22,2023-02-22 10:21:00,East
100021,2023-04-20,2023-04-20 03:16:00,Central
100022,2023-11-25,2023-11-25 20:03:00,South
100023,2023-04-14,2023-04-14 10:23:00,Central
100024,2023-06-16,2023-06-16 09:32:00,South
100025,2023-11-09,2023-11-09 21:19:00,North
100026,2023-06-01,2023-06-01 11:49:00,North
100027,2023-02-18,2023-02-18 22:51:00,South
100028,2023-01-27,2023-01-27 20:43:00,East
100029,2023-08-26,2023-08-26 21:14:00,Central
100030,2023-04-16,2023-04-16 19:15:00,South
100031,2023-07-22,2023-07-22 12:03:00,East
100032,2023-07-15,2023-07-15 07:30:00,South
100033,2023-04-17,2023-04-17 12:25:00,North
100034,2023-11-04,2023-11-04 03:59:00,South
100035,2023-04-27,2023-04-27 15:25:00,North
100036,2023-12-10,2023-12-10 18:17:00,North
100037,2023-12-31,2023-12-31 20:41:00,East
100038,2023-05-22,2023-05-22 21:37:00,West
100039,2023-04-22,2023-04-22 18:41:00,West
100040,2023-01-15,2023-01-15 09:15:00,Central
100041,2023-09-07,2023-09-07 06:41:00,East
100042,2023-02-05,2023-02-05 02:35:00,West
100043,2023-04-19,2023-04-19 04:18:00,Central
100044,2023-01-10,2023-01-10 19:50:00,Central
100045,2023-01-22,2023-01-22 04:35:00,West
100046,2023-01-03,2023-01-03 08:32:00,Central
100047,2023-06-12,2023-06-12 23:51:00,West
