area,product_id,quantity,hour,day_of_week
East,293073,2,12,Monday
East,926868,4,19,Sunday
East,417009,2,19,Sunday
East,424718,2,10,Wednesday
East,417009,1,10,Wednesday
East,799380,1,16,Sunday
South,644730,1,21,Wednesday
South,417528,2,21,Wednesday
South,799380,3,21,Wednesday
South,575961,1,1,Wednesday
Central,740474,1,10,Friday
Central,129553,3,10,Friday
Central,240196,2,10,Friday
East,966126,1,13,Monday
North,876627,1,16,Thursday
East,457848,3,4,Wednesday
East,357966,1,4,Wednesday
Central,846554,5,4,Wednesday
Central,542696,2,4,Wednesday
Central,203454,3,4,Wednesday
East,656573,3,20,Thursday
East,855119,5,20,Thursday
East,966126,2,20,Thursday
Central,741835,1,19,Sunday
Central,391708,1,19,Sunday
South,120672,1,22,Sunday
North,221626,3,20,Wednesday
North,782729,1,20,Wednesday
North,616207,2,20,Wednesday
South,758294,1,21,Monday
North,136788,2,23,Tuesday
North,221626,1,23,Tuesday
Central,700732,2,21,Wednesday
Central,489295,1,21,Wednesday
Central,203454,5,21,Wednesday
West,327670,5,19,Thursday
West,621860,4,19,Thursday
West,108796,1,19,Thursday
West,876627,2,10,Friday
West,599381,2,10,Friday
West,643168,2,10,Friday
East,149774,3,10,Wednesday
East,211520,4,10,Wednesday
Central,632686,3,3,Thursday
Central,632686,1,3,Thursday
Central,315187,1,3,Thursday
South,625107,5,20,Saturday
South,280162,3,20,Saturday
Central,176656,4,10,Friday
Central,331204,3,10,Friday
Central,357966,1,10,Friday
South,489295,4,9,Friday
South,797959,2,9,Friday
South,734159,2,9,Friday
North,799380,2,21,Thursday
North,467894,5,11,Thursday
North,489295,3,11,Thursday
North,289459,3,11,Thursday
South,601115,1,22,Saturday
East,370119,3,20,Friday
East,973291,1,20,Friday
Central,228776,1,21,Saturday
Central,467525,4,21,Saturday
South,489295,1,19,Sunday
East,327418,3,12,Saturday
South,727865,1,7,Saturday
South,315187,2,7,Saturday
South,647421,1,7,Saturday
North,572994,1,12,Monday
South,176656,2,3,Saturday
North,314921,4,15,Thursday
North,846554,2,18,Sunday
North,799380,1,18,Sunday
North,763628,2,18,Sunday
East,115684,1,20,Sunday
East,283803,3,20,Sunday
East,357966,1,20,Sunday
West,319527,2,21,Monday
West,431976,1,21,Monday
West,858357,1,21,Monday
West,134848,2,18,Saturday
West,613608,1,18,Saturday
West,846554,2,18,Saturday
Central,158033,1,9,Sunday
Central,125748,2,9,Sunday
East,120672,1,6,Thursday
West,973291,2,2,Sunday
West,989365,1,2,Sunday
Central,458263,3,4,Wednesday
Central,734159,4,4,Wednesday
Central,357966,1,4,Wednesday
Central,523098,1,19,Tuesday
Central,120672,1,19,Tuesday
Central,550857,1,19,Tuesday
West,340098,3,4,Sunday
Central,417009,1,8,Tuesday
West,657152,3,23,Monday
West,700732,3,23,Monday
West,120672,1,3,Wednesday
West,467894,2,3,Wednesday
West,582219,2,19,Friday
West,713622,1,1,Wednesday
West,314921,4,1,Wednesday
West,641411,1,1,Wednesday
Central,437577,1,16,Saturday
Central,667650,2,16,Saturday
South,327418,3,15,Thursday
East,367952,3,0,Tuesday
East,221626,3,0,Tuesday
North,526783,5,18,Thursday
North,665639,4,18,Thursday
South,457848,3,6,Friday
North,474362,3,12,Wednesday
North,240196,2,12,Wednesday
North,228776,3,23,Friday
South,874326,1,4,Monday
West,134761,2,22,Sunday
West,115684,2,22,Sunday
East,845820,5,13,Monday
South,120672,3,22,Monday
South,351367,1,22,Monday
Central,327418,4,12,Thursday
Central,391708,2,12,Thursday
Central,858357,4,12,Thursday
East,272383,2,19,Monday
East,855119,5,19,Monday
East,293073,1,19,Monday
North,283803,1,10,Tuesday
South,695926,2,17,Tuesday
South,272383,1,13,Wednesday
East,643168,5,21,Tuesday
North,436470,1,12,Tuesday
North,272383,1,12,Tuesday
North,588836,1,12,Tuesday
East,467525,1,12,Wednesday
East,784362,3,12,Wednesday
East,845820,2,12,Wednesday
North,351367,3,9,Thursday
North,463028,3,9,Thursday
West,625107,2,1,Saturday
West,123191,4,17,Thursday
West,647421,1,17,Thursday
West,821570,1,17,Thursday
West,458263,3,8,Friday
West,379582,2,8,Friday
West,589456,4,8,Friday
Central,727865,4,20,Friday
Central,167392,1,20,Friday
East,713622,3,10,Tuesday
East,932387,1,10,Tuesday
South,713451,2,7,Monday
North,318514,4,13,Monday
North,480254,3,13,Monday
North,844672,2,13,Monday
Central,845820,1,19,Saturday
Central,700732,1,19,Saturday
Central,665639,1,19,Saturday
Central,458363,2,14,Saturday
Central,268844,2,14,Saturday
Central,201111,2,14,Saturday
East,712158,4,11,Sunday
East,855119,1,23,Thursday
East,203454,1,23,Thursday
East,160732,1,23,Thursday
Central,457848,3,1,Thursday
South,657579,2,12,Saturday
North,130198,2,17,Friday
South,424718,3,6,Tuesday
West,458363,3,16,Sunday
Central,782729,2,21,Saturday
East,176656,4,14,Tuesday
West,700732,3,19,Thursday
West,155861,2,19,Thursday
West,431976,1,19,Thursday
North,129553,1,22,Tuesday
North,657152,2,22,Tuesday
East,760381,3,9,Friday
East,644730,2,9,Friday
Central,203454,1,12,Thursday
Central,152243,3,12,Thursday
South,323016,1,17,Monday
East,340098,4,12,Sunday
East,591797,2,7,Friday
Central,643168,2,8,Saturday
South,556364,2,20,Sunday
South,417528,2,20,Sunday
South,780063,5,20,Sunday
North,226632,1,22,Sunday
North,179932,4,19,Wednesday
East,422552,1,5,Friday
East,656573,1,5,Friday
West,319527,1,7,Monday
West,758294,1,7,Monday
North,391708,5,21,Sunday
North,125748,1,21,Sunday
West,712158,1,23,Monday
West,315187,3,23,Monday
South,714157,3,7,Wednesday
North,221626,3,18,Thursday
East,120672,1,17,Monday
East,319527,2,17,Monday
East,582936,1,17,Monday
East,462550,1,21,Friday
East,596545,1,21,Friday
East,204293,2,21,Friday
Central,599381,1,5,Thursday
Central,556364,4,19,Monday
Central,990634,1,19,Monday
Central,599381,1,19,Monday
South,177733,3,7,Monday
South,115348,1,7,Monday
East,667650,5,0,Tuesday
East,394868,2,0,Tuesday
East,179507,1,0,Tuesday
South,766294,4,11,Saturday
West,152243,1,7,Friday
West,713622,3,7,Friday
East,821570,1,4,Sunday
East,885901,1,4,Sunday
East,204293,3,4,Sunday
West,176656,1,7,Tuesday
North,134761,5,18,Sunday
North,523098,3,18,Sunday
Central,741835,2,15,Thursday
Central,550857,3,15,Thursday
West,780063,1,19,Tuesday
West,422552,3,19,Tuesday
West,632686,1,6,Sunday
East,716660,2,20,Thursday
Central,467525,1,13,Tuesday
Central,152243,1,13,Tuesday
Central,319527,3,13,Tuesday
Central,528608,1,5,Tuesday
Central,315487,1,5,Tuesday
Central,417009,2,2,Friday
Central,289459,2,2,Friday
East,644730,3,5,Thursday
North,846554,2,11,Saturday
North,310436,2,11,Saturday
North,240196,2,11,Saturday
Central,826219,2,13,Saturday
Central,811207,4,13,Saturday
Central,357966,2,13,Saturday
South,970718,2,4,Wednesday
South,526783,1,4,Wednesday
Central,291116,1,15,Friday
Central,167392,2,15,Friday
Central,917641,2,15,Friday
East,122121,3,1,Friday
South,667650,3,19,Tuesday
South,542696,1,19,Tuesday
South,564853,1,19,Tuesday
East,158033,2,2,Sunday
West,155861,1,18,Tuesday
West,989365,2,18,Tuesday
West,340098,1,18,Tuesday
South,310436,3,12,Saturday
South,932952,2,12,Saturday
South,149774,1,12,Saturday
Central,136788,3,23,Monday
Central,656573,5,23,Monday
North,526783,2,10,Thursday
North,621860,1,10,Thursday
North,797959,2,10,Thursday
West,874812,1,13,Monday
West,550857,1,1,Thursday
Central,990634,4,3,Thursday
Central,564853,2,3,Thursday
West,896270,2,20,Saturday
Central,647654,2,18,Saturday
Central,780063,2,18,Saturday
Central,462550,3,8,Thursday
South,741835,2,15,Sunday
North,602517,1,14,Monday
North,370119,3,14,Monday
South,351367,2,7,Monday
South,176656,3,7,Monday
South,912354,1,7,Monday
North,331204,3,20,Monday
North,263679,4,20,Monday
North,613608,2,20,Monday
North,176656,1,11,Saturday
East,734159,1,18,Wednesday
East,166402,1,18,Wednesday
East,283621,1,18,Wednesday
South,474362,3,13,Sunday
South,134848,1,13,Sunday
North,480254,4,20,Saturday
North,599381,5,20,Saturday
North,367952,1,20,Saturday
South,391708,1,11,Friday
South,716660,3,11,Friday
South,202715,4,14,Thursday
South,127005,4,14,Thursday
West,293073,2,4,Sunday
West,431976,1,4,Sunday
West,179507,1,4,Sunday
North,647421,3,1,Monday
South,713451,3,18,Saturday
South,621860,2,18,Saturday
South,784362,4,18,Saturday
West,437577,2,2,Friday
West,176656,1,2,Friday
Central,513418,3,12,Thursday
Central,179932,1,12,Thursday
Central,489295,1,4,Friday
Central,240196,2,4,Friday
West,131542,5,2,Sunday
West,844672,2,15,Wednesday
West,453516,3,15,Wednesday
West,855760,3,15,Wednesday
Central,634777,1,14,Thursday
Central,784425,1,14,Thursday
West,422552,1,0,Thursday
West,587281,2,0,Thursday
West,103736,2,1,Friday
West,226632,3,1,Friday
West,204220,2,1,Friday
North,957598,4,11,Thursday
North,435530,1,11,Thursday
Central,526783,2,22,Thursday
Central,782729,1,22,Thursday
Central,134848,1,22,Thursday
Central,714157,4,21,Monday
South,417009,3,14,Wednesday
South,130198,4,14,Wednesday
Central,283803,2,15,Saturday
South,394868,2,21,Tuesday
West,580730,1,23,Monday
West,973291,1,23,Monday
West,844672,3,23,Monday
South,297266,1,6,Saturday
South,134761,1,6,Saturday
Central,394174,2,15,Thursday
Central,601115,4,15,Thursday
Central,647654,2,15,Thursday
East,394868,3,9,Thursday
West,513418,2,0,Sunday
West,367952,1,0,Sunday
West,973291,1,0,Sunday
Central,272383,1,10,Monday
Central,480254,3,10,Monday
Central,634777,1,10,Monday
West,667650,1,10,Friday
West,179507,2,10,Friday
West,115684,1,10,Friday
North,367952,2,20,Tuesday
South,741835,1,19,Saturday
South,926868,5,19,Saturday
East,635769,1,8,Thursday
East,616207,1,8,Thursday
East,467894,2,8,Thursday
Central,176656,3,18,Wednesday
West,155861,1,21,Thursday
West,489295,2,21,Thursday
West,799380,1,22,Friday
West,328679,1,22,Friday
East,435530,4,5,Friday
North,394174,1,21,Sunday
North,167392,2,21,Sunday
North,799380,1,21,Sunday
North,667650,2,4,Saturday
North,912354,1,4,Saturday
South,226632,1,20,Tuesday
South,436470,5,20,Tuesday
South,149774,3,20,Tuesday
East,784425,2,3,Monday
East,528608,3,3,Monday
East,463028,2,3,Monday
Central,734159,2,23,Tuesday
West,700732,1,21,Friday
West,283803,4,21,Friday
East,543513,3,23,Saturday
East,582219,1,23,Saturday
West,240196,1,14,Tuesday
West,664634,5,14,Tuesday
North,712158,1,13,Tuesday
North,587281,4,13,Tuesday
West,143527,2,1,Tuesday
West,932387,1,1,Tuesday
West,315487,1,1,Tuesday
East,323016,2,19,Friday
East,319527,1,19,Friday
South,932952,2,15,Wednesday
Central,431976,3,8,Friday
Central,177733,4,8,Friday
North,474362,3,11,Sunday
North,550857,4,11,Sunday
North,254410,2,11,Sunday
Central,331204,1,5,Thursday
Central,657152,1,5,Thursday
North,591797,5,19,Wednesday
North,784362,1,19,Wednesday
Central,458263,1,12,Sunday
Central,160732,1,12,Sunday
Central,340098,2,14,Friday
Central,127005,2,14,Friday
Central,379582,1,13,Monday
Central,394868,1,13,Monday
Central,283803,1,13,Monday
Central,826219,2,2,Sunday
Central,587281,2,2,Sunday
East,340098,2,0,Tuesday
Central,203454,1,12,Wednesday
South,453516,2,10,Friday
West,891289,1,9,Wednesday
West,437577,4,9,Wednesday
West,766294,1,4,Wednesday
West,543513,1,21,Thursday
Central,643168,2,18,Wednesday
Central,458263,3,18,Wednesday
Central,602517,2,18,Wednesday
East,542696,4,14,Thursday
East,926868,1,14,Thursday
East,391708,2,14,Thursday
North,417009,2,7,Tuesday
South,204220,3,21,Tuesday
Central,422552,4,3,Tuesday
East,149774,1,18,Wednesday
East,437577,1,18,Wednesday
East,989365,2,18,Wednesday
Central,644730,4,14,Tuesday
Central,283621,2,14,Tuesday
West,635769,4,13,Thursday
West,268844,2,13,Thursday
West,254410,2,13,Thursday
East,727865,3,7,Sunday
East,632686,2,7,Sunday
South,580730,1,17,Saturday
South,367952,2,17,Saturday
South,529557,1,17,Saturday
South,716660,1,19,Saturday
South,596545,2,19,Saturday
South,297266,1,3,Friday
South,257146,4,3,Friday
South,226632,2,3,Friday
Central,667650,2,20,Monday
Central,167392,1,20,Monday
Central,621860,3,20,Monday
Central,700732,4,18,Wednesday
Central,855760,1,18,Wednesday
Central,926868,1,18,Wednesday
Central,647421,3,12,Sunday
North,436470,1,6,Thursday
North,647654,2,6,Thursday
North,526783,3,6,Thursday
North,323016,3,16,Thursday
East,283621,1,2,Sunday
East,641411,1,2,Sunday
East,179507,2,2,Sunday
South,272383,1,14,Thursday
South,523098,3,20,Sunday
South,635769,1,19,Sunday
South,644730,1,19,Sunday
South,665639,2,19,Sunday
South,155861,2,21,Saturday
South,144818,4,21,Saturday
West,190530,1,19,Friday
West,351367,5,19,Friday
West,310436,1,19,Friday
West,695926,2,4,Monday
West,115684,1,4,Monday
West,826219,2,4,Monday
West,130969,1,11,Monday
West,995677,1,11,Monday
West,543513,1,22,Friday
North,293073,4,10,Thursday
East,797959,1,8,Sunday
East,858212,2,8,Sunday
East,784425,1,8,Sunday
South,314921,3,7,Saturday
East,463028,3,14,Saturday
East,542696,2,22,Saturday
East,575961,4,22,Saturday
West,700732,1,7,Monday
West,763628,2,7,Monday
West,758294,1,7,Monday
North,713451,1,1,Sunday
North,451956,3,1,Sunday
North,136788,1,1,Sunday
West,417009,2,8,Friday
West,272383,2,8,Friday
West,543513,3,8,Friday
North,179507,1,15,Sunday
North,528608,3,15,Sunday
East,370119,4,18,Tuesday
Central,582936,3,20,Sunday
